,Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Type,Engine Size Numeric,Horsepower Numeric,Torque Numeric,0-60 MPH Time Numeric,Price Numeric
43,Mercedes-Benz,CLS63 AMG,2019,4,603,627,3.4,"132,000",Combustion,4.0,603.0,627.0,3.4,132000
44,Porsche,Cayman,2021,2,300,280,5.1,"58,900",Combustion,2.0,300.0,280.0,5.1,58900
45,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"518,000",Combustion,6.5,759.0,531.0,2.8,518000
46,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
47,Audi,RS3,2022,2.5,394,369,3.9,"56,200",Combustion,2.5,394.0,369.0,3.9,56200
48,McLaren,570S,2021,3.8,562,443,2.8,"192,500",Combustion,3.8,562.0,443.0,2.8,192500
49,BMW,M4,2022,3,503,479,3.8,"71,800",Combustion,3.0,503.0,479.0,3.8,71800
50,Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"68,000",Combustion,4.0,503.0,516.0,3.8,68000
51,Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"42,500",Combustion,6.2,455.0,455.0,4.1,42500
52,Ford,Mustang GT,2022,5,460,420,4.3,"39,000",Combustion,5.0,460.0,420.0,4.3,39000
53,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,100",Combustion,3.7,350.0,276.0,4.8,46100
54,Aston Martin,Vantage,2021,4,503,505,3.5,"142,100",Combustion,4.0,503.0,505.0,3.5,142100
55,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
56,Porsche,Panamera,2021,2.9,325,331,5.1,"87,200",Combustion,2.9,325.0,331.0,5.1,87200
57,Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Combustion,4.0,641.0,627.0,3.2,218000
58,Ferrari,Roma,2021,3.9,612,560,3.4,"222,000",Combustion,3.9,612.0,560.0,3.4,222000
59,Audi,S5,2022,3,349,369,4.4,"52,500",Combustion,3.0,349.0,369.0,4.4,52500
60,McLaren,600LT,2021,3.8,592,457,2.8,"241,000",Combustion,3.8,592.0,457.0,2.8,241000
61,BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
62,Aston Martin,Vantage,2022,4,503,505,3.5,"146,000",Combustion,4.0,503.0,505.0,3.5,146000
63,Audi,RS5,2021,2.9,444,443,3.6,"75,400",Combustion,2.9,444.0,443.0,3.6,75400
64,BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
65,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,900",Combustion,6.2,455.0,455.0,4.0,42900
66,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"78,595",Combustion,6.2,797.0,707.0,3.4,78595
67,Ford,GT,2021,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
68,Jaguar,F-Type,2022,2,296,295,5.4,"62,750",Combustion,2.0,296.0,295.0,5.4,62750
69,Lamborghini,Aventador,2021,6.5,770,531,2.9,"417,826",Combustion,6.5,770.0,531.0,2.9,417826
70,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",Combustion,4.7,454.0,384.0,4.7,150980
71,McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
72,Mercedes-Benz,C63 AMG,2021,4,503,516,3.8,"70,100",Combustion,4.0,503.0,516.0,3.8,70100
73,Nissan,370Z,2021,3.7,332,270,5,"30,090",Combustion,3.7,332.0,270.0,5.0,30090
74,Porsche,Panamera,2022,2.9,325,331,5.3,"88,700",Combustion,2.9,325.0,331.0,5.3,88700
75,Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Combustion,2.5,394.0,354.0,3.6,67600
76,BMW,M4,2022,3,473,406,4.1,"72,800",Combustion,3.0,473.0,406.0,4.1,72800
77,Chevrolet,Corvette Stingray,2021,6.2,490,465,2.8,"59,900",Combustion,6.2,490.0,465.0,2.8,59900
78,Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"274,280",Combustion,3.9,710.0,568.0,2.8,274280
79,Ford,Mustang Mach 1,2021,5,480,420,4.3,"52,915",Combustion,5.0,480.0,420.0,4.3,52915
80,Lamborghini,Urus,2021,4,641,627,3.6,"218,009",Combustion,4.0,641.0,627.0,3.6,218009
81,Porsche,718 Cayman,2022,2,300,280,4.5,"61,000",Combustion,2.0,300.0,280.0,4.5,61000
82,Acura,NSX,2022,3.5,573,476,2.9,"159,495",Combustion,3.5,573.0,476.0,2.9,159495
83,Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",Combustion,4.0,503.0,505.0,3.5,142086
84,Bentley,Continental GT,2021,6,626,664,3.3,"219,800",Combustion,6.0,626.0,664.0,3.3,219800
85,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
86,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.4,"74,290",Combustion,6.2,797.0,707.0,3.4,74290
87,Jaguar,F-Type,2022,3,380,339,4.9,"71,900",Combustion,3.0,380.0,339.0,4.9,71900
88,Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Combustion,5.0,1600.0,1106.0,2.5,3000000
89,Lexus,LC 500,2022,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
90,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
91,Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300",Combustion,4.7,454.0,384.0,4.7,134300
92,Mazda,MX-5 Miata,2021,2,181,151,6.5,"26,830",Combustion,2.0,181.0,151.0,6.5,26830
93,McLaren,GT,2022,4,620,465,3.1,"213,195",Combustion,4.0,620.0,465.0,3.1,213195
94,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Combustion,6.2,622.0,468.0,3.7,221580
95,Pagani,Huayra,2022,6,764,738,2.8,"2,800,000",Combustion,6.0,764.0,738.0,2.8,2800000
96,Porsche,718 Cayman GT4,2022,4,414,309,4.2,"100,550",Combustion,4.0,414.0,309.0,4.2,100550
97,Rimac,Nevera,2022,Electric,1914,1696,1.95,"2,400,000",Electric,,1914.0,1696.0,1.95,2400000
98,Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000",Combustion,6.8,624.0,605.0,4.4,330000
99,Tesla,Roadster,2022,Electric,1000+,737,1.9,"200,000",Electric,,1000.0,737.0,1.9,200000
100,Toyota,Supra,2022,3,382,368,3.9,"43,090",Combustion,3.0,382.0,368.0,3.9,43090
101,W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,"1,700,000",Combustion,3.8,800.0,723.0,2.7,1700000
102,Porsche,718 Cayman,2022,2,300,280,4.7,"60,500",Combustion,2.0,300.0,280.0,4.7,60500
103,Lamborghini,Aventador,2021,6.5,770,531,2.9,"522,000",Combustion,6.5,770.0,531.0,2.9,522000
104,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
105,Audi,TT RS,2022,2.5,394,354,3.4,"67,000",Combustion,2.5,394.0,354.0,3.4,67000
106,McLaren,GT,2021,4,612,465,3.1,"212,500",Combustion,4.0,612.0,465.0,3.1,212500
107,BMW,M4,2022,3,503,479,3.8,"75,000",Combustion,3.0,503.0,479.0,3.8,75000
108,Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,"155,000",Combustion,4.0,603.0,664.0,3.5,155000
109,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",Combustion,6.2,650.0,650.0,3.5,64000
110,Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
111,Nissan,370Z,2021,3.7,332,270,4.7,"31,015",Combustion,3.7,332.0,270.0,4.7,31015
112,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",Combustion,5.2,715.0,664.0,3.4,304995
113,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
114,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
115,McLaren,570S,2021,3.8,562,443,3.2,"192,500",Combustion,3.8,562.0,443.0,3.2,192500
116,Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,"190,000",Combustion,4.0,690.0,642.0,3.2,190000
117,Lamborghini,Urus,2021,4,641,627,3.6,"222,000",Combustion,4.0,641.0,627.0,3.6,222000
118,Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Combustion,3.9,611.0,561.0,3.3,222000
119,Audi,RS7,2021,4,591,590,3.5,"115,000",Combustion,4.0,591.0,590.0,3.5,115000
120,BMW,M2,2022,3,405,406,4.2,"59,000",Combustion,3.0,405.0,406.0,4.2,59000
121,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,100",Combustion,4.0,414.0,309.0,4.2,102100
122,Lamborghini,Aventador,2021,6.5,730,509,2.9,"417,826",Combustion,6.5,730.0,509.0,2.9,417826
123,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"304,995",Combustion,5.2,715.0,664.0,3.2,304995
124,Bentley,Continental GT,2021,6,626,664,3.6,"220,300",Combustion,6.0,626.0,664.0,3.6,220300
125,Audi,RS7,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
126,Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,"239,100",Combustion,6.2,622.0,468.0,3.7,239100
127,McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
128,BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
129,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",Combustion,6.2,650.0,650.0,3.5,62500
130,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,290",Combustion,6.2,717.0,656.0,3.5,65290
131,Ferrari,Portofino,2021,3.9,592,560,3.5,"219,750",Combustion,3.9,592.0,560.0,3.5,219750
132,Porsche,Panamera Turbo S,2022,4,620,604,2.9,"187,700",Combustion,4.0,620.0,604.0,2.9,187700
133,Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Combustion,4.0,641.0,627.0,3.6,222004
134,Mercedes-Benz,AMG C63,2021,4,469,479,3.8,"71,350",Combustion,4.0,469.0,479.0,3.8,71350
135,Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",Combustion,4.0,503.0,505.0,3.6,146000
136,Audi,S5,2022,3,349,369,4.4,"52,500",Combustion,3.0,349.0,369.0,4.4,52500
137,Porsche,Cayman,2022,2.5,365,309,4.5,"68,900",Combustion,2.5,365.0,309.0,4.5,68900
138,Lamborghini,Aventador,2021,6.5,730,507,2.8,"517,770",Combustion,6.5,730.0,507.0,2.8,517770
139,Ferrari,F8 Tributo,2022,3.9,710,568,2.9,"276,550",Combustion,3.9,710.0,568.0,2.9,276550
140,Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Combustion,2.5,394.0,354.0,3.6,67600
141,McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
142,BMW,Z4 M40i,2022,3,382,369,3.9,"63,700",Combustion,3.0,382.0,369.0,3.9,63700
143,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Combustion,6.2,622.0,468.0,3.7,221580
144,Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"44,000",Combustion,6.2,455.0,455.0,4.1,44000
145,Ford,Mustang Mach 1,2021,5,480,420,4,"51,720",Combustion,5.0,480.0,420.0,4.0,51720
146,Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790",Combustion,3.7,350.0,276.0,4.9,45790
147,Porsche,Panamera,2022,2.9,325,331,5.4,"88,550",Combustion,2.9,325.0,331.0,5.4,88550
148,Lamborghini,Urus,2021,4,641,627,3.5,"218,009",Combustion,4.0,641.0,627.0,3.5,218009
149,Ferrari,Roma,2021,3.9,612,561,3.3,"222,620",Combustion,3.9,612.0,561.0,3.3,222620
150,Audi,RS 3,2022,2.5,401,369,3.6,"56,200",Combustion,2.5,401.0,369.0,3.6,56200
151,McLaren,GT,2021,4,612,465,3.2,"200,000",Combustion,4.0,612.0,465.0,3.2,200000
152,BMW,M2 CS,2022,3,444,406,3.8,"84,595",Combustion,3.0,444.0,406.0,3.8,84595
153,Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"77,500",Combustion,4.0,503.0,516.0,3.8,77500
154,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",Combustion,6.2,650.0,650.0,3.5,62500
155,Acura,NSX,2021,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
156,Aston Martin,DB11,2022,4,503,513,3.7,"204,100",Combustion,4.0,503.0,513.0,3.7,204100
157,Bentley,Continental GT,2021,6,626,664,3.4,"220,300",Combustion,6.0,626.0,664.0,3.4,220300
158,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
159,Dodge,Viper,2017,8.4,645,600,3.3,"120,000",Combustion,8.4,645.0,600.0,3.3,120000
160,Jaguar,F-Type,2022,3,380,339,4.9,"69,900",Combustion,3.0,380.0,339.0,4.9,69900
161,Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Combustion,5.0,1600.0,1106.0,2.5,3000000
162,Lexus,LC 500,2022,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
163,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,950",Combustion,3.5,416.0,317.0,3.8,105950
164,Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,000",Combustion,4.7,454.0,384.0,4.8,150000
165,McLaren,570S,2020,3.8,562,443,3.1,"204,550",Combustion,3.8,562.0,443.0,3.1,204550
166,Pagani,Huayra,2020,6,720,738,3,"2,700,000",Combustion,6.0,720.0,738.0,3.0,2700000
167,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900",Combustion,4.0,414.0,309.0,4.2,102900
168,Rimac,C_Two,2022,,1914,1696,1.9,"2,400,000",Unknown,,1914.0,1696.0,1.9,2400000
169,Rolls-Royce,Wraith,2021,6.6,624,605,4.3,"330,000",Combustion,6.6,624.0,605.0,4.3,330000
170,Shelby,Cobra,1965,7,435,440,4.2,"1,000,000",Combustion,7.0,435.0,440.0,4.2,1000000
171,Tesla,Model S Plaid,2021,,1020,1050,1.98,"131,190",Unknown,,1020.0,1050.0,1.98,131190
172,Toyota,GR Supra,2022,3,382,368,3.9,"43,090",Combustion,3.0,382.0,368.0,3.9,43090
173,TVR,Griffith,2022,5,500,479,3.8,"123,500",Combustion,5.0,500.0,479.0,3.8,123500
174,W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,"3,400,000",Combustion,3.7,780.0,708.0,2.8,3400000
175,Porsche,718 Cayman,2021,2,300,280,4.5,"61,500",Combustion,2.0,300.0,280.0,4.5,61500
176,Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"518,000",Combustion,6.5,770.0,531.0,2.8,518000
177,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"507,000",Combustion,4.0,986.0,590.0,2.5,507000
178,Audi,RS 6,2021,4,591,590,3.5,"109,000",Combustion,4.0,591.0,590.0,3.5,109000
179,McLaren,GT,2021,4,612,465,3.1,"210,000",Combustion,4.0,612.0,465.0,3.1,210000
180,BMW,M2 CS,2022,3,444,406,3.8,"84,595",Combustion,3.0,444.0,406.0,3.8,84595
181,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"228,000",Combustion,6.2,622.0,468.0,3.6,228000
182,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",Combustion,6.2,455.0,455.0,4.0,42000
183,Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
184,Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000",Combustion,3.7,350.0,276.0,5.0,45000
185,Porsche,Taycan,2021,Electric,750,774,2.6,"185,000",Electric,,750.0,774.0,2.6,185000
186,Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Combustion,4.0,641.0,627.0,3.6,222004
187,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"276,550",Combustion,3.9,710.0,568.0,2.9,276550
188,Audi,RS 3,2022,2.5,401,354,3.5,"56,000",Combustion,2.5,401.0,354.0,3.5,56000
189,McLaren,570S,2021,3.8,562,443,3.1,"191,000",Combustion,3.8,562.0,443.0,3.1,191000
190,BMW,M5,2022,4.4,600,553,3.2,"104,000",Combustion,4.4,600.0,553.0,3.2,104000
191,Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,"69,900",Combustion,4.0,469.0,479.0,3.9,69900
192,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",Combustion,6.2,650.0,650.0,3.5,64000
193,Porsche,Taycan,2022,2,402,254,5.1,"81,250",Combustion,2.0,402.0,254.0,5.1,81250
194,Lamborghini,Aventador,2021,6.5,730,509,2.9,"517,700",Combustion,6.5,730.0,509.0,2.9,517700
195,Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"330,000",Combustion,5.2,715.0,663.0,3.4,330000
196,Audi,RS 6 Avant,2021,4,591,590,3.5,"109,000",Combustion,4.0,591.0,590.0,3.5,109000
197,McLaren,600LT,2021,3.8,592,457,2.8,"242,500",Combustion,3.8,592.0,457.0,2.8,242500
198,Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"77,000",Combustion,4.0,503.0,516.0,3.7,77000
199,BMW,M4,2022,3,473,406,4.1,"72,800",Combustion,3.0,473.0,406.0,4.1,72800
200,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000",Combustion,6.2,650.0,650.0,3.5,62000
201,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"76,000",Combustion,6.2,797.0,707.0,3.5,76000
202,Ford,GT,2022,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
203,Nissan,370Z,2021,3.7,332,270,4.9,"30,090",Combustion,3.7,332.0,270.0,4.9,30090
204,Porsche,Panamera,2022,2.9,325,332,5.3,"87,200",Combustion,2.9,325.0,332.0,5.3,87200
205,Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Combustion,4.0,641.0,626.0,3.5,218000
206,Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000",Combustion,8.0,1500.0,1180.0,2.3,3000000
207,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Combustion,3.9,710.0,568.0,2.9,274280
208,Audi,RS 7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
209,McLaren,570S,2021,3.8,562,443,3.1,"191,000",Combustion,3.8,562.0,443.0,3.1,191000
210,Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",Combustion,4.0,503.0,505.0,3.5,142086
211,Jaguar,F-Type,2022,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
212,Porsche,Panamera Turbo S,2021,4,620,604,2.9,"177,700",Combustion,4.0,620.0,604.0,2.9,177700
213,Lamborghini,Aventador S,2021,6.5,729,509,2.9,"417,650",Combustion,6.5,729.0,509.0,2.9,417650
214,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
215,Audi,RS7,2022,4,591,590,3.5,"115,045",Combustion,4.0,591.0,590.0,3.5,115045
216,McLaren,600LT,2021,3.8,592,457,2.9,"256,500",Combustion,3.8,592.0,457.0,2.9,256500
217,BMW,M2 Competition,2022,3,405,406,4,"59,895",Combustion,3.0,405.0,406.0,4.0,59895
218,Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"152,500",Combustion,4.0,603.0,664.0,3.4,152500
219,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
220,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"69,995",Combustion,6.2,717.0,656.0,3.5,69995
221,Ford,GT,2022,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
222,Porsche,Taycan Turbo S,2021,,750,774,2.6,"185,000",Unknown,,750.0,774.0,2.6,185000
223,Lamborghini,Urus,2021,4,641,627,3.2,"218,009",Combustion,4.0,641.0,627.0,3.2,218009
224,Ferrari,812 Superfast,2021,6.5,789,530,2.9,"363,730",Combustion,6.5,789.0,530.0,2.9,363730
225,Audi,R8 Spyder,2022,5.2,562,406,3.5,"183,300",Combustion,5.2,562.0,406.0,3.5,183300
226,McLaren,GT,2021,4,612,465,3.1,"210,000",Combustion,4.0,612.0,465.0,3.1,210000
227,BMW,M4,2022,3,473,406,4.1,"73,795",Combustion,3.0,473.0,406.0,4.1,73795
228,Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"183,000",Combustion,4.0,577.0,516.0,3.5,183000
229,Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"60,995",Combustion,6.2,495.0,470.0,2.9,60995
230,Aston Martin,DB11,2022,5.2,630,516,3.5,"207,000",Combustion,5.2,630.0,516.0,3.5,207000
231,Bentley,Continental GT,2022,6,626,664,3.5,"203,825",Combustion,6.0,626.0,664.0,3.5,203825
232,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
233,Acura,NSX,2022,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
234,Lotus,Evora GT,2021,3.5,416,317,3.7,"99,800",Combustion,3.5,416.0,317.0,3.7,99800
235,Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200",Combustion,4.0,414.0,309.0,4.2,100200
236,Alfa Romeo,4C,2020,1.7,237,258,4.1,"67,150",Combustion,1.7,237.0,258.0,4.1,67150
237,Audi,RS5,2022,2.9,444,443,3.7,"77,250",Combustion,2.9,444.0,443.0,3.7,77250
238,BMW,M2 Competition,2021,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
239,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
240,Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,"71,490",Combustion,6.2,717.0,650.0,3.6,71490
