Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Type,Engine Size Numeric,Horsepower Numeric,Torque Numeric,0-60 MPH Time Numeric,Price Numeric
Toyota,Supra,2022,3,382,368,3.9,"43,090",Combustion,3.0,382.0,368.0,3.9,43090
W Motors,Fenyr Supersport,2022,3.8,800,723,2.7,"1,700,000",Combustion,3.8,800.0,723.0,2.7,1700000
Porsche,718 Cayman,2022,2,300,280,4.7,"60,500",Combustion,2.0,300.0,280.0,4.7,60500
Lamborghini,Aventador,2021,6.5,770,531,2.9,"522,000",Combustion,6.5,770.0,531.0,2.9,522000
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,TT RS,2022,2.5,394,354,3.4,"67,000",Combustion,2.5,394.0,354.0,3.4,67000
McLaren,GT,2021,4,612,465,3.1,"212,500",Combustion,4.0,612.0,465.0,3.1,212500
BMW,M4,2022,3,503,479,3.8,"75,000",Combustion,3.0,503.0,479.0,3.8,75000
Mercedes-Benz,SL 63 AMG,2021,4,603,664,3.5,"155,000",Combustion,4.0,603.0,664.0,3.5,155000
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",Combustion,6.2,650.0,650.0,3.5,64000
Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
Nissan,370Z,2021,3.7,332,270,4.7,"31,015",Combustion,3.7,332.0,270.0,4.7,31015
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",Combustion,5.2,715.0,664.0,3.4,304995
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
McLaren,570S,2021,3.8,562,443,3.2,"192,500",Combustion,3.8,562.0,443.0,3.2,192500
Porsche,Panamera Turbo S E-Hybrid,2021,4,690,642,3.2,"190,000",Combustion,4.0,690.0,642.0,3.2,190000
Lamborghini,Urus,2021,4,641,627,3.6,"222,000",Combustion,4.0,641.0,627.0,3.6,222000
Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Combustion,3.9,611.0,561.0,3.3,222000
Audi,RS7,2021,4,591,590,3.5,"115,000",Combustion,4.0,591.0,590.0,3.5,115000
BMW,M2,2022,3,405,406,4.2,"59,000",Combustion,3.0,405.0,406.0,4.2,59000
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,100",Combustion,4.0,414.0,309.0,4.2,102100
Lamborghini,Aventador,2021,6.5,730,509,2.9,"417,826",Combustion,6.5,730.0,509.0,2.9,417826
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"304,995",Combustion,5.2,715.0,664.0,3.2,304995
Bentley,Continental GT,2021,6,626,664,3.6,"220,300",Combustion,6.0,626.0,664.0,3.6,220300
Audi,RS7,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.7,"239,100",Combustion,6.2,622.0,468.0,3.7,239100
McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",Combustion,6.2,650.0,650.0,3.5,62500
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,290",Combustion,6.2,717.0,656.0,3.5,65290
Ferrari,Portofino,2021,3.9,592,560,3.5,"219,750",Combustion,3.9,592.0,560.0,3.5,219750
Porsche,Panamera Turbo S,2022,4,620,604,2.9,"187,700",Combustion,4.0,620.0,604.0,2.9,187700
Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Combustion,4.0,641.0,627.0,3.6,222004
Mercedes-Benz,AMG C63,2021,4,469,479,3.8,"71,350",Combustion,4.0,469.0,479.0,3.8,71350
Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",Combustion,4.0,503.0,505.0,3.6,146000
Audi,S5,2022,3,349,369,4.4,"52,500",Combustion,3.0,349.0,369.0,4.4,52500
Porsche,Cayman,2022,2.5,365,309,4.5,"68,900",Combustion,2.5,365.0,309.0,4.5,68900
Lamborghini,Aventador,2021,6.5,730,507,2.8,"517,770",Combustion,6.5,730.0,507.0,2.8,517770
Ferrari,F8 Tributo,2022,3.9,710,568,2.9,"276,550",Combustion,3.9,710.0,568.0,2.9,276550
Audi,TT RS,2021,2.5,394,354,3.6,"67,600",Combustion,2.5,394.0,354.0,3.6,67600
McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
BMW,Z4 M40i,2022,3,382,369,3.9,"63,700",Combustion,3.0,382.0,369.0,3.9,63700
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.7,"221,580",Combustion,6.2,622.0,468.0,3.7,221580
Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"44,000",Combustion,6.2,455.0,455.0,4.1,44000
Ford,Mustang Mach 1,2021,5,480,420,4,"51,720",Combustion,5.0,480.0,420.0,4.0,51720
Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790",Combustion,3.7,350.0,276.0,4.9,45790
Porsche,Panamera,2022,2.9,325,331,5.4,"88,550",Combustion,2.9,325.0,331.0,5.4,88550
Lamborghini,Urus,2021,4,641,627,3.5,"218,009",Combustion,4.0,641.0,627.0,3.5,218009
Ferrari,Roma,2021,3.9,612,561,3.3,"222,620",Combustion,3.9,612.0,561.0,3.3,222620
Audi,RS 3,2022,2.5,401,369,3.6,"56,200",Combustion,2.5,401.0,369.0,3.6,56200
McLaren,GT,2021,4,612,465,3.2,"200,000",Combustion,4.0,612.0,465.0,3.2,200000
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Combustion,3.0,444.0,406.0,3.8,84595
Mercedes-Benz,AMG C63,2021,4,503,516,3.8,"77,500",Combustion,4.0,503.0,516.0,3.8,77500
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,500",Combustion,6.2,650.0,650.0,3.5,62500
Acura,NSX,2021,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
Aston Martin,DB11,2022,4,503,513,3.7,"204,100",Combustion,4.0,503.0,513.0,3.7,204100
Bentley,Continental GT,2021,6,626,664,3.4,"220,300",Combustion,6.0,626.0,664.0,3.4,220300
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
Dodge,Viper,2017,8.4,645,600,3.3,"120,000",Combustion,8.4,645.0,600.0,3.3,120000
Jaguar,F-Type,2022,3,380,339,4.9,"69,900",Combustion,3.0,380.0,339.0,4.9,69900
Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000",Combustion,5.0,1600.0,1106.0,2.5,3000000
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416,317,3.8,"105,950",Combustion,3.5,416.0,317.0,3.8,105950
Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,000",Combustion,4.7,454.0,384.0,4.8,150000
McLaren,570S,2020,3.8,562,443,3.1,"204,550",Combustion,3.8,562.0,443.0,3.1,204550
Pagani,Huayra,2020,6,720,738,3,"2,700,000",Combustion,6.0,720.0,738.0,3.0,2700000
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900",Combustion,4.0,414.0,309.0,4.2,102900
Rimac,C_Two,2022,,1914,1696,1.9,"2,400,000",Unknown,,1914.0,1696.0,1.9,2400000
Rolls-Royce,Wraith,2021,6.6,624,605,4.3,"330,000",Combustion,6.6,624.0,605.0,4.3,330000
Shelby,Cobra,1965,7,435,440,4.2,"1,000,000",Combustion,7.0,435.0,440.0,4.2,1000000
Tesla,Model S Plaid,2021,,1020,1050,1.98,"131,190",Unknown,,1020.0,1050.0,1.98,131190
Toyota,GR Supra,2022,3,382,368,3.9,"43,090",Combustion,3.0,382.0,368.0,3.9,43090
TVR,Griffith,2022,5,500,479,3.8,"123,500",Combustion,5.0,500.0,479.0,3.8,123500
W Motors,Lykan Hypersport,2015,3.7,780,708,2.8,"3,400,000",Combustion,3.7,780.0,708.0,2.8,3400000
Porsche,718 Cayman,2021,2,300,280,4.5,"61,500",Combustion,2.0,300.0,280.0,4.5,61500
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"518,000",Combustion,6.5,770.0,531.0,2.8,518000
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"507,000",Combustion,4.0,986.0,590.0,2.5,507000
Audi,RS 6,2021,4,591,590,3.5,"109,000",Combustion,4.0,591.0,590.0,3.5,109000
McLaren,GT,2021,4,612,465,3.1,"210,000",Combustion,4.0,612.0,465.0,3.1,210000
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Combustion,3.0,444.0,406.0,3.8,84595
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"228,000",Combustion,6.2,622.0,468.0,3.6,228000
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",Combustion,6.2,455.0,455.0,4.0,42000
Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000",Combustion,3.7,350.0,276.0,5.0,45000
Porsche,Taycan,2021,Electric,750,774,2.6,"185,000",Electric,,750.0,774.0,2.6,185000
Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Combustion,4.0,641.0,627.0,3.6,222004
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"276,550",Combustion,3.9,710.0,568.0,2.9,276550
Audi,RS 3,2022,2.5,401,354,3.5,"56,000",Combustion,2.5,401.0,354.0,3.5,56000
McLaren,570S,2021,3.8,562,443,3.1,"191,000",Combustion,3.8,562.0,443.0,3.1,191000
BMW,M5,2022,4.4,600,553,3.2,"104,000",Combustion,4.4,600.0,553.0,3.2,104000
Mercedes-Benz,AMG C 63,2021,4,469,479,3.9,"69,900",Combustion,4.0,469.0,479.0,3.9,69900
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,000",Combustion,6.2,650.0,650.0,3.5,64000
Porsche,Taycan,2022,2,402,254,5.1,"81,250",Combustion,2.0,402.0,254.0,5.1,81250
Lamborghini,Aventador,2021,6.5,730,509,2.9,"517,700",Combustion,6.5,730.0,509.0,2.9,517700
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"330,000",Combustion,5.2,715.0,663.0,3.4,330000
Audi,RS 6 Avant,2021,4,591,590,3.5,"109,000",Combustion,4.0,591.0,590.0,3.5,109000
McLaren,600LT,2021,3.8,592,457,2.8,"242,500",Combustion,3.8,592.0,457.0,2.8,242500
Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"77,000",Combustion,4.0,503.0,516.0,3.7,77000
BMW,M4,2022,3,473,406,4.1,"72,800",Combustion,3.0,473.0,406.0,4.1,72800
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000",Combustion,6.2,650.0,650.0,3.5,62000
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"76,000",Combustion,6.2,797.0,707.0,3.5,76000
Ford,GT,2022,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
Nissan,370Z,2021,3.7,332,270,4.9,"30,090",Combustion,3.7,332.0,270.0,4.9,30090
Porsche,Panamera,2022,2.9,325,332,5.3,"87,200",Combustion,2.9,325.0,332.0,5.3,87200
Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Combustion,4.0,641.0,626.0,3.5,218000
Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000",Combustion,8.0,1500.0,1180.0,2.3,3000000
Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Combustion,3.9,710.0,568.0,2.9,274280
Audi,RS 7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
McLaren,570S,2021,3.8,562,443,3.1,"191,000",Combustion,3.8,562.0,443.0,3.1,191000
Aston Martin,Vantage,2022,4,503,505,3.5,"142,086",Combustion,4.0,503.0,505.0,3.5,142086
Jaguar,F-Type,2022,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"177,700",Combustion,4.0,620.0,604.0,2.9,177700
Lamborghini,Aventador S,2021,6.5,729,509,2.9,"417,650",Combustion,6.5,729.0,509.0,2.9,417650
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS7,2022,4,591,590,3.5,"115,045",Combustion,4.0,591.0,590.0,3.5,115045
McLaren,600LT,2021,3.8,592,457,2.9,"256,500",Combustion,3.8,592.0,457.0,2.9,256500
BMW,M2 Competition,2022,3,405,406,4,"59,895",Combustion,3.0,405.0,406.0,4.0,59895
Mercedes-Benz,S63 AMG,2021,4,603,664,3.4,"152,500",Combustion,4.0,603.0,664.0,3.4,152500
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"69,995",Combustion,6.2,717.0,656.0,3.5,69995
Ford,GT,2022,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
Porsche,Taycan Turbo S,2021,,750,774,2.6,"185,000",Unknown,,750.0,774.0,2.6,185000
Lamborghini,Urus,2021,4,641,627,3.2,"218,009",Combustion,4.0,641.0,627.0,3.2,218009
Ferrari,812 Superfast,2021,6.5,789,530,2.9,"363,730",Combustion,6.5,789.0,530.0,2.9,363730
Audi,R8 Spyder,2022,5.2,562,406,3.5,"183,300",Combustion,5.2,562.0,406.0,3.5,183300
McLaren,GT,2021,4,612,465,3.1,"210,000",Combustion,4.0,612.0,465.0,3.1,210000
BMW,M4,2022,3,473,406,4.1,"73,795",Combustion,3.0,473.0,406.0,4.1,73795
Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"183,000",Combustion,4.0,577.0,516.0,3.5,183000
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"60,995",Combustion,6.2,495.0,470.0,2.9,60995
Aston Martin,DB11,2022,5.2,630,516,3.5,"207,000",Combustion,5.2,630.0,516.0,3.5,207000
Bentley,Continental GT,2022,6,626,664,3.5,"203,825",Combustion,6.0,626.0,664.0,3.5,203825
Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
Acura,NSX,2022,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
Lotus,Evora GT,2021,3.5,416,317,3.7,"99,800",Combustion,3.5,416.0,317.0,3.7,99800
Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200",Combustion,4.0,414.0,309.0,4.2,100200
Alfa Romeo,4C,2020,1.7,237,258,4.1,"67,150",Combustion,1.7,237.0,258.0,4.1,67150
Audi,RS5,2022,2.9,444,443,3.7,"77,250",Combustion,2.9,444.0,443.0,3.7,77250
BMW,M2 Competition,2021,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.6,"71,490",Combustion,6.2,717.0,650.0,3.6,71490
Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
Lexus,LC 500,2022,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,400",Combustion,4.7,454.0,384.0,4.8,150400
Nissan,370Z Nismo,2021,3.7,350,276,4.6,"47,820",Combustion,3.7,350.0,276.0,4.6,47820
Rolls-Royce,Wraith,2022,6.8,624,605,4.4,"330,000",Combustion,6.8,624.0,605.0,4.4,330000
Subaru,WRX STI,2021,2.5,310,290,4.6,"38,170",Combustion,2.5,310.0,290.0,4.6,38170
Tesla,Model S Plaid,2022,,1020,1050,1.9,"131,190",Unknown,,1020.0,1050.0,1.9,131190
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000",Combustion,4.0,414.0,309.0,4.2,102000
Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695",Combustion,6.5,729.0,507.0,2.9,393695
